iter	TotalF1	MultiClass
0	0.5270334732	1.502808837
1	0.5540625527	1.337113435
2	0.5723577392	1.224351608
3	0.595229857	1.129650223
4	0.6241456253	1.062237099
5	0.6472369654	1.003049031
6	0.6520844544	0.9639258274
7	0.6604811496	0.9327304613
8	0.6755625961	0.8963498353
9	0.6842842169	0.8740854807
10	0.6851804705	0.8536561998
11	0.6795625335	0.8307464727
12	0.681165447	0.8156108716
13	0.6698870656	0.8015129938
14	0.681715106	0.7762362338
15	0.6934451366	0.763234261
16	0.7057586435	0.7458682473
17	0.7087232967	0.7363144306
18	0.7117231474	0.7246096766
19	0.7226014476	0.7175697831
20	0.7224458565	0.7089988031
21	0.7315325746	0.6920347468
22	0.743689199	0.6785296926
23	0.7494089294	0.6660606948
24	0.7549334144	0.6548407699
25	0.7612618295	0.6418703898
26	0.7688343903	0.6330381634
27	0.7688360778	0.6271222795
28	0.7788184502	0.6177791784
29	0.7824338667	0.6088049555
30	0.7880038261	0.5960086714
31	0.7937620048	0.5892871759
32	0.7977682711	0.5823584891
33	0.7993796642	0.572306593
34	0.8026214789	0.5640936515
35	0.810611848	0.5518639424
36	0.8202008234	0.5397530087
37	0.8230380142	0.5311211886
38	0.8227706863	0.5259687456
39	0.8271836173	0.5187611655
40	0.8371148574	0.5092179533
41	0.8499760925	0.4990260818
42	0.854339484	0.4897910267
43	0.8543545232	0.4766122413
44	0.8623018794	0.4696590936
45	0.8708033698	0.4634740662
46	0.8750620496	0.4561866168
47	0.8804193231	0.4472510034
48	0.8823658091	0.4413267611
49	0.8904909944	0.4319672989
50	0.8947305144	0.4266289994
51	0.8999686823	0.418179422
52	0.8972322307	0.4095768853
53	0.9015655894	0.4044124884
54	0.9042526623	0.3988549234
55	0.9029713963	0.3934206398
56	0.9112602485	0.3851255129
57	0.9153867139	0.3752386776
58	0.9195009492	0.3718578438
59	0.918155839	0.3671517885
60	0.919566364	0.3617434181
61	0.9209318633	0.3591516462
62	0.92363292	0.3565643445
63	0.9276692948	0.3491791211
64	0.9344553364	0.3427892523
65	0.934494483	0.3390038314
66	0.9358764948	0.3337753937
67	0.9318103183	0.329699636
68	0.9372686391	0.3262811712
69	0.9359057303	0.3187547588
70	0.9399831041	0.3154599751
71	0.9372305764	0.311318806
72	0.9372564813	0.3067455186
73	0.946817849	0.3028228182
74	0.9481511287	0.2989421111
75	0.9549513248	0.291166342
76	0.9522480747	0.2882321063
77	0.9522372666	0.2843678323
78	0.9549443207	0.282223481
79	0.9549561373	0.2796533791
80	0.9563097347	0.2762713963
81	0.9576861796	0.2714002245
82	0.9590552046	0.2661091896
83	0.9604185906	0.2612160394
84	0.9604185906	0.2589877622
85	0.9658477319	0.2560278177
86	0.968557438	0.2516336427
87	0.9685840927	0.24853381
88	0.9672282854	0.2452399751
89	0.9672270004	0.2430521083
90	0.965875698	0.2404274599
91	0.9672363616	0.2384980122
92	0.9685940283	0.2365199389
93	0.9726659543	0.2336737957
94	0.9740422642	0.2297009524
95	0.9740422642	0.2265333635
96	0.9753969904	0.2219879038
97	0.98223268	0.2161880857
98	0.9849684822	0.2136679838
99	0.9849684822	0.2123671101
100	0.987693941	0.208293195
101	0.987693941	0.205404823
102	0.9890601059	0.2016439236
103	0.9890601059	0.1994671519
104	0.9904262148	0.1963758991
105	0.9904262148	0.1943750381
106	0.9918015448	0.1922400172
107	0.9918015448	0.1903218404
108	0.993163119	0.1890749768
109	0.9945246781	0.186083075
110	0.9958908283	0.18175338
111	0.9958908283	0.1801735339
112	0.9972650726	0.1770960554
113	0.9972650726	0.175010144
114	0.9972650726	0.1729355599
115	0.9972650726	0.171103808
116	0.9972650726	0.1695757344
117	0.9972650726	0.1678128513
118	0.9972650726	0.1659916352
119	0.9972650726	0.1642391395
120	0.9972650726	0.1611151147
121	0.9972650726	0.1580822237
122	0.9972650726	0.1570438261
123	0.9972650726	0.1551862018
124	0.9972650726	0.1534254233
125	0.9972650726	0.1510514197
126	0.9986338685	0.1493838468
127	0.9986338685	0.1474934181
128	1	0.1454700788
129	1	0.1429354525
130	1	0.1408780366
131	1	0.1392012038
132	1	0.1379153991
133	1	0.1362630411
134	1	0.1341541618
135	1	0.1323663705
136	1	0.1314721285
137	1	0.1298026611
138	1	0.1282743148
139	1	0.1262473285
140	1	0.1247489359
141	1	0.1232290788
142	1	0.1221847601
143	1	0.1199501999
144	1	0.1188843554
145	1	0.1182578212
146	1	0.1168292946
147	1	0.1153129407
148	1	0.114923197
149	1	0.1137918433
150	1	0.1121063677
151	1	0.1108935684
152	1	0.1098708653
153	1	0.1084793883
154	1	0.1067132116
155	1	0.1049107532
156	1	0.103922989
157	1	0.10238358
158	1	0.1010872276
159	1	0.100369709
160	1	0.09867058178
161	1	0.09722557502
162	1	0.09626684634
163	1	0.09551179295
164	1	0.09468940892
165	1	0.09363348692
166	1	0.09203539632
167	1	0.09150785558
168	1	0.09035077323
169	1	0.08961192973
170	1	0.08814990623
171	1	0.08762985253
172	1	0.08722036797
173	1	0.08620179939
174	1	0.08502774093
175	1	0.08436303024
176	1	0.08362901381
177	1	0.0827093238
178	1	0.08146379545
179	1	0.08083211724
180	1	0.08011515322
181	1	0.07946044499
182	1	0.07894173183
183	1	0.07837400808
184	1	0.07764095599
185	1	0.07703405898
186	1	0.0762367649
187	1	0.07528165063
188	1	0.07452207479
189	1	0.07380580468
190	1	0.07261472275
191	1	0.07195399753
192	1	0.07150827427
193	1	0.07036869502
194	1	0.06950258223
195	1	0.06859835615
196	1	0.06838814791
197	1	0.06765537615
198	1	0.0668360113
199	1	0.06614657538
200	1	0.06559186043
201	1	0.06497786041
202	1	0.06429206093
203	1	0.06393927589
204	1	0.06329549233
205	1	0.06244131417
206	1	0.06154475127
207	1	0.06108816298
208	1	0.06024393138
209	1	0.05982684439
210	1	0.05949612462
211	1	0.05905948684
212	1	0.05834299096
213	1	0.05772270298
214	1	0.05710946196
215	1	0.05663998967
216	1	0.05618113092
217	1	0.05582280985
218	1	0.05537827696
219	1	0.05478071714
220	1	0.05422970869
221	1	0.05359792061
222	1	0.05320944659
223	1	0.05262191777
224	1	0.0519997851
225	1	0.05167744178
226	1	0.05135862553
227	1	0.05076469054
228	1	0.05040412909
229	1	0.04967095505
230	1	0.04942989635
231	1	0.04928259845
232	1	0.0490245926
233	1	0.0486089576
234	1	0.04822822294
235	1	0.04781307455
236	1	0.04721677113
237	1	0.04665527788
238	1	0.04608998402
239	1	0.04581666938
240	1	0.04546771447
241	1	0.04521720458
242	1	0.04473633059
243	1	0.04418737174
244	1	0.04378539485
245	1	0.04339605128
246	1	0.04290136186
247	1	0.04229774989
248	1	0.04202518193
249	1	0.0417869044
250	1	0.04147336458
251	1	0.04109759729
252	1	0.04087562507
253	1	0.04055998711
254	1	0.04020450575
255	1	0.03972447759
256	1	0.03943712913
257	1	0.03905408455
258	1	0.03890349156
259	1	0.03856716991
260	1	0.0383153758
261	1	0.03792617892
262	1	0.0374492988
263	1	0.03722001618
264	1	0.03696483403
265	1	0.03665174969
266	1	0.03623328497
267	1	0.03589196301
268	1	0.03549706763
269	1	0.03524028456
270	1	0.03507351931
271	1	0.03458784644
272	1	0.03414367827
273	1	0.0339106369
274	1	0.03362588138
275	1	0.03330197857
276	1	0.03316034915
277	1	0.0327219884
278	1	0.03236129991
279	1	0.03197847997
280	1	0.03165492959
281	1	0.03138810149
282	1	0.03110750028
283	1	0.03098919456
284	1	0.03084657309
285	1	0.03064867835
286	1	0.03040513263
287	1	0.03004750448
288	1	0.02993163693
289	1	0.02982877209
290	1	0.02951087271
291	1	0.02932203567
292	1	0.02918936563
293	1	0.02900271915
294	1	0.02871996547
295	1	0.02847087803
296	1	0.02827690548
297	1	0.02812072389
298	1	0.02770436755
299	1	0.02735523868
300	1	0.02715877341
301	1	0.02703161578
302	1	0.02663425337
303	1	0.02636621126
304	1	0.02615935573
305	1	0.02595923548
306	1	0.02585719606
307	1	0.0256589936
308	1	0.02546198609
309	1	0.02517059797
310	1	0.0249110545
311	1	0.02473321111
312	1	0.02448888863
313	1	0.02435811876
314	1	0.02420603304
315	1	0.02400458855
316	1	0.02385927193
317	1	0.02375657259
318	1	0.02362452877
319	1	0.02338162415
320	1	0.02319395412
321	1	0.02289971897
322	1	0.0226666162
323	1	0.02251800061
324	1	0.02238382517
325	1	0.02222515423
326	1	0.02212958351
327	1	0.02193815276
328	1	0.02186097062
329	1	0.02172294861
330	1	0.02158845306
331	1	0.02145675661
332	1	0.02132857538
333	1	0.02111504734
334	1	0.0209402115
335	1	0.02082802139
336	1	0.02076631703
337	1	0.02063027528
338	1	0.02051427578
339	1	0.02039202652
340	1	0.02019426729
341	1	0.02012675878
342	1	0.01990545311
343	1	0.01977292104
344	1	0.01961516451
345	1	0.01944163314
346	1	0.01919341568
347	1	0.0191127257
348	1	0.01902386338
349	1	0.01889587982
350	1	0.01878425993
351	1	0.0187145349
352	1	0.01864500215
353	1	0.01848612209
354	1	0.01831811767
355	1	0.01816792407
356	1	0.01805332053
357	1	0.01787280334
358	1	0.01776956502
359	1	0.01764711265
360	1	0.01752695886
361	1	0.01740966025
362	1	0.01730834502
363	1	0.01718802376
364	1	0.01710142694
365	1	0.01701204475
366	1	0.01692957274
367	1	0.01673496947
368	1	0.01662877281
369	1	0.01647967617
370	1	0.01634860767
371	1	0.01625335125
372	1	0.01614521577
373	1	0.0160230959
374	1	0.01585955464
375	1	0.01576822029
376	1	0.01566082392
377	1	0.01554185695
378	1	0.01543215827
379	1	0.01525825571
380	1	0.01516989951
381	1	0.01509382426
382	1	0.01495649919
383	1	0.01484493237
384	1	0.01470518128
385	1	0.01462952971
386	1	0.01452392845
387	1	0.0144460721
388	1	0.01441773898
389	1	0.01431170156
390	1	0.01419262417
391	1	0.01411945479
392	1	0.01404700132
