iter	Passed	Remaining
0	135	54058
1	137	27449
2	140	18544
3	141	14044
4	143	11344
5	145	9529
6	146	8220
7	147	7247
8	149	6488
9	150	5880
10	151	5373
11	153	4959
12	154	4601
13	155	4293
14	157	4032
15	158	3798
16	159	3595
17	160	3410
18	161	3247
19	163	3099
20	164	2965
21	165	2843
22	166	2732
23	167	2630
24	169	2539
25	170	2454
26	171	2374
27	173	2300
28	174	2231
29	175	2169
30	177	2112
31	178	2057
32	180	2005
33	181	1955
34	182	1908
35	184	1862
36	185	1818
37	186	1776
38	187	1737
39	189	1701
40	190	1667
41	191	1631
42	192	1599
43	193	1567
44	194	1538
45	196	1509
46	197	1483
47	198	1457
48	200	1433
49	201	1409
50	202	1385
51	203	1362
52	204	1340
53	205	1319
54	207	1299
55	208	1279
56	209	1259
57	210	1239
58	211	1221
59	212	1202
60	213	1185
61	214	1168
62	215	1152
63	216	1137
64	217	1122
65	218	1107
66	219	1093
67	221	1079
68	221	1064
69	223	1051
70	224	1038
71	225	1025
72	226	1013
73	227	1000
74	227	987
75	228	976
76	230	964
77	231	954
78	232	944
79	233	934
80	234	924
81	236	915
82	237	906
83	238	897
84	239	888
85	240	878
86	241	869
87	242	861
88	243	852
89	245	844
90	246	835
91	247	827
92	248	819
93	249	811
94	250	803
95	251	795
96	252	787
97	253	780
98	254	772
99	255	765
100	256	758
101	257	751
102	258	744
103	259	737
104	260	730
105	261	724
106	262	717
107	263	711
108	264	705
109	265	699
110	266	693
111	267	687
112	268	681
113	269	675
114	270	670
115	271	664
116	272	658
117	273	653
118	274	647
119	275	642
120	276	636
121	277	633
122	280	631
123	281	626
124	282	621
125	283	616
126	284	611
127	285	606
128	286	601
129	287	596
130	288	591
131	289	587
132	290	582
133	291	578
134	292	573
135	293	569
136	294	565
137	295	560
138	296	557
139	297	553
140	298	549
141	299	544
142	300	540
143	301	536
144	302	532
145	303	528
146	305	525
147	306	521
148	307	517
149	308	513
150	309	509
151	310	505
152	311	502
153	311	498
154	313	494
155	313	491
156	314	487
157	315	483
158	316	480
159	317	476
160	318	473
161	320	470
162	321	466
163	322	463
164	322	459
165	323	456
166	325	453
167	326	450
168	327	447
169	328	444
170	329	441
171	330	437
172	331	434
173	332	431
174	333	428
175	334	425
176	335	422
177	336	419
178	337	416
179	338	413
180	339	410
181	340	407
182	341	404
183	342	401
184	343	399
185	344	396
186	345	393
187	346	390
188	347	387
189	348	385
190	349	382
191	350	379
192	351	376
193	352	374
194	353	371
195	354	368
196	355	366
197	356	363
198	357	361
199	358	358
200	359	356
201	360	353
202	361	351
203	362	348
204	363	346
205	364	343
206	365	340
207	366	338
208	367	335
209	368	333
210	369	331
211	370	328
212	371	326
213	372	323
214	373	321
215	374	318
216	375	316
217	376	314
218	377	312
219	378	309
220	379	307
221	380	305
222	381	302
223	382	300
224	383	298
225	384	296
226	385	293
227	386	291
228	387	289
229	388	287
230	389	285
231	390	283
232	391	280
233	392	278
234	393	276
235	394	274
236	395	272
237	396	270
238	397	268
239	398	265
240	399	263
241	400	261
242	401	259
243	402	257
244	403	255
245	404	253
246	405	251
247	406	249
248	407	247
249	408	245
250	409	243
251	410	241
252	411	239
253	412	236
254	413	234
255	414	233
256	415	231
257	416	229
258	417	227
259	418	225
260	419	223
261	420	221
262	421	219
263	422	217
264	423	215
265	424	213
266	425	211
267	426	210
268	427	208
269	428	206
270	429	204
271	430	202
272	431	200
273	432	198
274	433	196
275	434	195
276	435	193
277	436	191
278	437	189
279	438	187
280	438	185
281	439	184
282	441	182
283	442	180
284	443	178
285	443	176
286	444	175
287	445	173
288	446	171
289	447	169
290	448	168
291	449	166
292	450	164
293	451	162
294	452	161
295	453	159
296	454	157
297	455	156
298	456	154
299	457	152
300	458	150
301	459	149
302	460	147
303	461	145
304	462	144
305	463	142
306	464	140
307	465	139
308	466	137
309	467	135
310	469	134
311	470	132
312	471	130
313	472	129
314	473	127
315	474	126
316	475	124
317	476	122
318	476	121
319	477	119
320	478	117
321	480	116
322	481	114
323	482	113
324	483	111
325	484	109
326	485	108
327	486	106
328	487	105
329	488	103
330	489	101
331	490	100
332	491	98
333	492	97
334	493	95
335	494	94
336	495	92
337	496	91
338	497	89
339	498	87
340	499	86
341	500	84
342	500	83
343	501	81
344	502	80
345	503	78
346	504	77
347	505	75
348	506	73
349	507	72
350	508	70
351	509	69
352	510	67
353	511	66
354	512	64
355	513	63
356	514	61
357	515	60
358	516	58
359	517	57
360	518	55
361	519	54
362	520	53
363	521	51
364	522	50
365	523	48
366	524	47
367	525	45
368	526	44
369	527	42
370	528	41
371	529	39
372	530	38
373	531	36
374	532	35
375	533	34
376	533	32
377	534	31
378	535	29
379	536	28
380	538	26
381	538	25
382	539	23
383	540	22
384	541	21
385	542	19
386	544	18
387	545	16
388	546	15
389	547	14
390	548	12
391	549	11
392	550	9
393	551	8
394	552	6
395	553	5
396	554	4
397	555	2
398	556	1
399	556	0
