param_learning_rate,param_max_depth,param_feature_fraction_bynode,param_num_leaves,mean_test_score,std_test_score
0.1,-1,0.25,50,0.6328565433875883,0.02229954734036863
0.05,-1,0.25,35,0.628025332843382,0.02575270258207561
0.05,-1,0.25,50,0.6279987771283186,0.03112051329532169
0.1,-1,0.1,35,0.627112999841244,0.023474716184891047
0.05,-1,0.1,50,0.6260158803022196,0.039601280927201166
0.05,-1,0.1,35,0.6250610775253402,0.0391979667165996
0.1,-1,0.25,35,0.6229806768235879,0.03608802644781376
0.1,-1,0.1,50,0.6221636099367375,0.03100417769125656
0.05,-1,0.5,50,0.6194477646660367,0.03098903209781378
0.05,-1,1.0,50,0.6129153223876742,0.022216038818711953
0.05,-1,1.0,35,0.6129153223876742,0.022216038818711953
0.1,-1,0.5,35,0.6125566779346561,0.028941962407054756
0.1,-1,0.5,50,0.6113427398120399,0.029093107570226977
0.1,-1,1.0,50,0.6098904780251383,0.019666126402900407
0.1,-1,1.0,35,0.6098904780251383,0.019666126402900407
0.05,-1,0.25,12,0.6094741948799498,0.022494728913482472
0.05,-1,0.1,12,0.6086711712734985,0.0268702887055091
0.05,-1,0.5,35,0.6086198052826112,0.0335789819615337
0.1,-1,0.1,12,0.6068138145193794,0.031197724134294717
0.05,-1,0.5,12,0.6047046818234698,0.01909492269521533
0.1,-1,0.1,7,0.604035933774936,0.03695528674953619
0.1,-1,0.5,12,0.6023130307783028,0.027091784691889206
0.05,-1,1.0,12,0.601981945043911,0.02421027765021153
0.1,-1,0.25,12,0.5981808011074707,0.03475207959963141
0.1,-1,1.0,12,0.5962862007856915,0.02429008349700151
0.05,-1,0.25,7,0.5955662898027599,0.018886909046118908
0.05,-1,0.1,7,0.5943692551591468,0.03547243344846115
0.1,-1,0.25,7,0.588372598709541,0.04200377879724867
0.05,-1,0.5,7,0.5881146561893053,0.029450230003994455
0.05,-1,1.0,7,0.5836790124641544,0.026740200036242386
0.1,-1,1.0,7,0.5833808037898134,0.03299863351096319
0.1,-1,0.5,3,0.5828136942005835,0.02715241031009215
0.1,-1,0.25,3,0.5788188200571888,0.03834513511538571
0.1,-1,1.0,3,0.5785575982729133,0.026626527887880547
0.1,-1,0.5,7,0.5771145120413091,0.046103558779323
0.05,-1,0.1,3,0.5765888741677111,0.03420379412835989
0.05,-1,1.0,3,0.5726698961121717,0.02957447842784678
0.1,-1,0.1,3,0.5725257629610608,0.03984503863385908
0.05,-1,0.25,3,0.5691221500009439,0.03295818688320404
0.05,-1,0.5,3,0.5640568668749847,0.029551886168771507
