iter	Passed	Remaining
0	14	5729
1	27	5540
2	41	5464
3	54	5386
4	67	5343
5	80	5315
6	94	5319
7	108	5292
8	120	5256
9	134	5236
10	147	5199
11	161	5213
12	173	5175
13	186	5153
14	199	5126
15	213	5115
16	226	5105
17	239	5075
18	252	5063
19	265	5039
20	278	5023
21	291	5005
22	304	4995
23	317	4978
24	330	4961
25	344	4952
26	357	4934
27	370	4922
28	384	4915
29	398	4912
30	412	4910
31	425	4898
32	439	4883
33	452	4868
34	465	4851
35	477	4830
36	490	4816
37	504	4804
38	517	4790
39	530	4773
40	543	4762
41	558	4760
42	572	4755
43	586	4743
44	600	4736
45	613	4720
46	626	4709
47	641	4702
48	654	4688
49	668	4679
50	682	4669
51	695	4653
52	708	4637
53	721	4621
54	734	4605
55	748	4595
56	761	4582
57	774	4567
58	787	4549
59	799	4530
60	812	4514
61	825	4498
62	839	4488
63	853	4479
64	866	4465
65	880	4453
66	893	4441
67	906	4425
68	919	4409
69	932	4395
70	946	4386
71	959	4371
72	972	4356
73	985	4342
74	999	4330
75	1012	4317
76	1025	4302
77	1039	4289
78	1052	4275
79	1065	4263
80	1078	4247
81	1091	4233
82	1103	4215
83	1116	4200
84	1129	4186
85	1142	4172
86	1155	4158
87	1169	4146
88	1183	4134
89	1196	4120
90	1209	4105
91	1222	4091
92	1235	4077
93	1248	4064
94	1261	4050
95	1274	4035
96	1288	4024
97	1301	4011
98	1315	3999
99	1328	3984
100	1341	3970
101	1354	3956
102	1366	3941
103	1380	3927
104	1393	3914
105	1406	3900
106	1419	3886
107	1432	3873
108	1445	3858
109	1458	3845
110	1472	3833
111	1486	3821
112	1499	3809
113	1512	3794
114	1525	3781
115	1538	3766
116	1551	3752
117	1564	3739
118	1578	3727
119	1592	3716
120	1606	3703
121	1619	3690
122	1633	3679
123	1647	3667
124	1663	3659
125	1678	3650
126	1692	3638
127	1706	3625
128	1719	3611
129	1732	3598
130	1745	3583
131	1758	3571
132	1772	3557
133	1785	3543
134	1797	3528
135	1810	3515
136	1823	3500
137	1836	3487
138	1849	3473
139	1862	3459
140	1875	3445
141	1888	3432
142	1901	3417
143	1914	3403
144	1927	3389
145	1940	3375
146	1954	3363
147	1967	3349
148	1980	3336
149	1993	3321
150	2005	3307
151	2018	3293
152	2031	3279
153	2043	3264
154	2056	3250
155	2070	3239
156	2083	3225
157	2096	3211
158	2108	3196
159	2121	3182
160	2134	3168
161	2147	3155
162	2160	3141
163	2173	3127
164	2185	3112
165	2199	3100
166	2212	3086
167	2225	3072
168	2238	3060
169	2251	3046
170	2265	3033
171	2278	3020
172	2291	3007
173	2305	2993
174	2317	2979
175	2330	2965
176	2343	2953
177	2356	2939
178	2369	2925
179	2382	2912
180	2395	2898
181	2408	2884
182	2421	2871
183	2433	2857
184	2446	2843
185	2460	2830
186	2474	2818
187	2487	2805
188	2500	2791
189	2514	2778
190	2526	2765
191	2540	2751
192	2552	2738
193	2567	2726
194	2580	2712
195	2593	2699
196	2606	2685
197	2620	2672
198	2634	2661
199	2648	2648
200	2662	2635
201	2676	2623
202	2689	2610
203	2702	2596
204	2716	2583
205	2730	2571
206	2744	2558
207	2757	2545
208	2770	2531
209	2784	2518
210	2798	2506
211	2811	2492
212	2823	2479
213	2837	2465
214	2849	2451
215	2863	2438
216	2875	2425
217	2888	2411
218	2901	2397
219	2914	2384
220	2927	2371
221	2940	2357
222	2953	2344
223	2967	2331
224	2980	2317
225	2996	2307
226	3010	2294
227	3023	2280
228	3036	2267
229	3049	2254
230	3062	2240
231	3075	2227
232	3088	2213
233	3099	2199
234	3112	2185
235	3125	2171
236	3138	2158
237	3150	2144
238	3162	2130
239	3175	2117
240	3188	2103
241	3202	2091
242	3216	2078
243	3229	2064
244	3242	2051
245	3255	2038
246	3268	2024
247	3280	2010
248	3293	1997
249	3307	1984
250	3321	1971
251	3335	1959
252	3349	1946
253	3363	1933
254	3376	1919
255	3389	1906
256	3402	1893
257	3415	1879
258	3428	1866
259	3442	1853
260	3456	1840
261	3469	1827
262	3482	1813
263	3495	1800
264	3507	1787
265	3521	1773
266	3535	1760
267	3547	1747
268	3560	1734
269	3573	1720
270	3587	1707
271	3600	1694
272	3613	1681
273	3627	1667
274	3641	1655
275	3655	1642
276	3669	1629
277	3682	1616
278	3695	1602
279	3708	1589
280	3721	1576
281	3735	1562
282	3748	1549
283	3761	1536
284	3774	1523
285	3787	1509
286	3801	1496
287	3815	1483
288	3828	1470
289	3840	1456
290	3854	1443
291	3883	1436
292	3896	1422
293	3908	1409
294	3921	1395
295	3935	1382
296	3949	1369
297	3961	1355
298	3975	1342
299	3988	1329
300	4001	1316
301	4014	1302
302	4026	1289
303	4041	1276
304	4054	1262
305	4068	1249
306	4082	1236
307	4095	1223
308	4110	1210
309	4123	1197
310	4136	1183
311	4149	1170
312	4163	1157
313	4176	1143
314	4189	1130
315	4202	1117
316	4214	1103
317	4228	1090
318	4241	1076
319	4254	1063
320	4268	1050
321	4281	1037
322	4294	1023
323	4308	1010
324	4322	997
325	4335	984
326	4349	970
327	4362	957
328	4375	944
329	4389	931
330	4403	917
331	4416	904
332	4428	891
333	4442	877
334	4456	864
335	4469	851
336	4481	837
337	4494	824
338	4507	811
339	4520	797
340	4533	784
341	4546	771
342	4559	757
343	4572	744
344	4586	731
345	4599	717
346	4614	704
347	4627	691
348	4641	678
349	4656	665
350	4669	651
351	4682	638
352	4695	625
353	4709	611
354	4722	598
355	4736	585
356	4750	572
357	4763	558
358	4778	545
359	4791	532
360	4804	519
361	4816	505
362	4829	492
363	4844	479
364	4857	465
365	4869	452
366	4882	438
367	4894	425
368	4907	412
369	4920	398
370	4934	385
371	4947	372
372	4960	359
373	4973	345
374	4985	332
375	4999	319
376	5014	305
377	5027	292
378	5041	279
379	5054	266
380	5067	252
381	5081	239
382	5093	226
383	5106	212
384	5118	199
385	5131	186
386	5144	172
387	5156	159
388	5169	146
389	5183	132
390	5196	119
391	5208	106
392	5222	93
393	5234	79
394	5247	66
395	5260	53
396	5274	39
397	5287	26
398	5301	13
399	5315	0
