param_learning_rate,param_max_depth,param_l2_leaf_reg,param_leaf_estimation_iterations,mean_test_score,std_test_score
0.1,7,1,10,0.641445753,0.033610209
0.1,7,6,10,0.637005237,0.035655396
0.1,5,9,10,0.633104309,0.042098326
0.1,7,6,1,0.632579183,0.03513102
0.1,7,3,10,0.632405968,0.043450844
0.1,5,1,10,0.62770714,0.027288662
0.1,5,6,10,0.627585265,0.03024609
0.1,5,1,1,0.626510409,0.031196235
0.1,7,3,1,0.621629539,0.022237312
0.1,7,9,10,0.620345368,0.034420362
0.1,5,3,10,0.619938959,0.032702215
0.1,7,1,1,0.619409295,0.030495128
0.1,5,3,1,0.618943521,0.035792136
0.1,5,9,1,0.614723476,0.042067991
0.1,5,6,1,0.613610319,0.031232209
0.1,7,9,1,0.613265355,0.030841393
0.1,3,1,10,0.611192866,0.038819505
0.1,3,6,10,0.604393237,0.031284334
0.1,3,1,1,0.600360695,0.045813789
0.1,3,3,1,0.598930286,0.039121351
0.1,3,9,10,0.59514089,0.046333415
0.1,3,3,10,0.594935905,0.036394045
0.1,3,6,1,0.585157151,0.055818925
0.1,3,9,1,0.57924421,0.053310229
